Disease,Precautions
(vertigo) Paroymsal  Positional Vertigo,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
AIDS,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Acne,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Alcoholic hepatitis,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Allergy,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Arthritis,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Bronchial Asthma,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Cervical spondylosis,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Chicken pox,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Chronic cholestasis,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Common Cold,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Dengue,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Diabetes ,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Dimorphic hemmorhoids(piles),Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Drug Reaction,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Fungal infection,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
GERD,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Gastroenteritis,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Heart attack,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Hepatitis B,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Hepatitis C,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Hepatitis D,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Hepatitis E,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Hypertension ,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Hyperthyroidism,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Hypoglycemia,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Hypothyroidism,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Impetigo,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Jaundice,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Malaria,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Migraine,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Osteoarthristis,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Paralysis (brain hemorrhage),Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Peptic ulcer diseae,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Pneumonia,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Psoriasis,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Tuberculosis,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Typhoid,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Urinary tract infection,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
Varicose veins,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
hepatitis A,Follow standard precautions: seek professional medical advice; rest and hydrate; visit a clinician if symptoms worsen
